Country_name,Life_Ladder,Log_GDP_per_capita,Social_support,Healthy_life_expectancy_at_birth,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Positive_affect,Negative_affect,Year_bin
Benin,very_low,very_low,very_low,very_low,medium,low,medium,very_low,low,2010
Benin,very_low,very_low,very_low,very_low,medium,low,high,medium,low,2010
Benin,very_low,very_low,very_low,very_low,medium,low,high,very_low,medium,2010
Benin,very_low,very_low,very_low,very_low,medium,medium,high,very_low,very_high,2015
Benin,very_low,very_low,very_low,very_low,medium,low,high,low,very_high,2015
Benin,low,very_low,very_low,very_low,medium,low,medium,low,very_high,2015
Benin,high,very_low,very_low,very_low,low,medium,low,low,very_high,2015
Benin,low,very_low,very_low,very_low,medium,medium,low,low,very_high,2015
Benin,very_low,very_low,very_low,very_low,medium,low,very_low,low,high,2020
Bhutan,medium,low,medium,low,high,very_high,medium,high,low,2010
Bhutan,low,low,high,low,high,very_high,very_low,very_high,high,2010
Bhutan,low,medium,medium,low,high,very_high,very_low,high,high,2015
Bolivia,medium,low,medium,low,medium,medium,medium,medium,very_high,2005
Bolivia,medium,low,low,low,medium,medium,medium,high,very_high,2005
Bolivia,medium,low,low,low,medium,low,medium,high,very_high,2005
Bolivia,high,low,medium,low,medium,medium,low,high,very_high,2005
Bolivia,high,low,low,low,low,low,medium,high,very_high,2010
Bolivia,high,low,medium,low,medium,medium,medium,high,very_high,2010
Bolivia,high,low,low,low,high,medium,high,high,very_high,2010
Bolivia,medium,low,low,low,high,low,medium,high,very_high,2010
Bolivia,high,low,medium,low,very_high,high,medium,high,very_high,2010
Bolivia,high,low,medium,low,very_high,medium,high,high,very_high,2015
Bolivia,high,low,low,low,very_high,medium,high,high,very_high,2015
Bolivia,medium,low,low,low,very_high,low,medium,medium,very_high,2015
Bolivia,high,low,medium,medium,high,low,medium,medium,very_high,2015
Bolivia,medium,low,low,medium,very_high,low,high,medium,very_high,2015
Bolivia,medium,low,low,medium,high,medium,high,high,very_high,2020
Bosnia and Herzegovina,low,medium,low,medium,very_low,medium,very_high,low,high,2005
Bosnia and Herzegovina,low,medium,low,high,very_low,medium,very_high,very_low,very_high,2005
Bosnia and Herzegovina,low,medium,low,high,very_low,low,very_high,very_low,very_high,2010
Bosnia and Herzegovina,low,medium,low,high,very_low,medium,very_high,very_low,high,2010
Bosnia and Herzegovina,low,medium,low,high,very_low,medium,very_high,very_low,very_high,2010
Bosnia and Herzegovina,medium,medium,low,high,very_low,high,very_high,very_low,high,2010
Bosnia and Herzegovina,medium,medium,low,high,very_low,very_high,very_high,very_low,medium,2010
Bosnia and Herzegovina,medium,medium,very_low,high,low,medium,very_high,very_low,high,2015
Bosnia and Herzegovina,medium,medium,low,high,low,very_high,very_high,low,high,2015
Bosnia and Herzegovina,low,medium,low,high,very_low,high,very_high,very_low,medium,2015
Bosnia and Herzegovina,high,medium,medium,high,low,high,very_high,low,medium,2015
Bosnia and Herzegovina,high,medium,high,high,medium,high,very_high,low,medium,2015
Bosnia and Herzegovina,medium,medium,high,high,medium,very_high,very_high,low,high,2020
Botswana,low,medium,high,very_low,high,very_low,low,medium,low,2005
Botswana,medium,medium,medium,very_low,high,very_low,medium,medium,low,2005
Botswana,very_low,medium,medium,very_low,high,very_low,medium,medium,very_low,2010
Botswana,very_low,medium,medium,very_low,high,very_low,medium,medium,very_low,2010
Botswana,low,medium,medium,very_low,high,very_low,medium,high,very_low,2010
Botswana,very_low,medium,medium,very_low,medium,very_low,low,medium,medium,2010
Botswana,very_low,medium,medium,very_low,medium,low,low,low,medium,2010
Botswana,very_low,medium,medium,low,high,low,high,medium,medium,2015
Botswana,very_low,medium,low,low,high,very_low,low,medium,medium,2015
Botswana,very_low,medium,low,low,high,very_low,low,low,medium,2015
Botswana,very_low,medium,low,low,high,very_low,medium,medium,medium,2015
Botswana,very_low,medium,low,low,high,very_low,medium,medium,medium,2015
Brazil,very_high,medium,high,low,very_high,,low,very_high,high,2005
Brazil,high,medium,high,medium,medium,medium,low,very_high,high,2005
Brazil,very_high,medium,high,medium,medium,low,low,very_high,medium,2005
Brazil,very_high,medium,high,medium,medium,medium,low,very_high,medium,2005
Brazil,very_high,medium,high,medium,high,medium,low,very_high,medium,2010
Brazil,very_high,medium,high,medium,high,low,low,high,medium,2010
Brazil,very_high,medium,high,medium,high,,very_low,medium,very_high,2010
Brazil,very_high,medium,high,medium,medium,low,low,very_high,medium,2010
Brazil,very_high,medium,high,medium,low,low,low,high,medium,2010
Brazil,very_high,medium,high,medium,high,medium,medium,medium,high,2015
Brazil,high,medium,high,medium,high,low,medium,high,high,2015
Brazil,high,medium,high,medium,medium,very_low,medium,medium,high,2015
Brazil,high,medium,high,high,medium,low,low,medium,very_high,2015
Brazil,high,medium,high,high,high,low,low,high,very_high,2015
Brazil,high,medium,medium,high,medium,medium,low,medium,very_high,2020
Bulgaria,very_low,medium,medium,medium,very_low,very_low,very_high,very_low,low,2005
Bulgaria,very_low,medium,medium,medium,very_low,very_low,very_high,very_low,medium,2010
Bulgaria,very_low,high,medium,medium,low,very_low,very_high,very_low,medium,2010
Bulgaria,very_low,high,medium,medium,low,very_low,very_high,very_low,low,2010
Bulgaria,very_low,high,medium,medium,very_low,very_low,very_high,low,medium,2010
Bulgaria,very_low,high,high,medium,very_low,medium,very_high,low,low,2010
Bulgaria,low,high,high,medium,low,very_low,very_high,low,low,2015
Bulgaria,low,high,very_high,high,low,very_low,very_high,low,very_low,2015
Bulgaria,low,high,very_high,high,low,very_low,very_high,low,very_low,2015
Bulgaria,medium,high,very_high,high,medium,very_low,very_high,low,very_low,2015
Bulgaria,medium,high,very_high,high,high,low,very_high,low,low,2015
Bulgaria,medium,high,high,high,high,medium,very_high,medium,low,2020
Burkina Faso,very_low,very_low,low,very_low,very_low,high,medium,medium,medium,2005
Burkina Faso,very_low,very_low,low,very_low,very_low,low,medium,low,high,2005
Burkina Faso,very_low,very_low,low,very_low,very_low,low,high,very_low,high,2005
Burkina Faso,very_low,very_low,low,very_low,very_low,medium,medium,very_low,low,2010
Burkina Faso,low,very_low,very_low,very_low,medium,low,low,very_low,low,2010
Burkina Faso,very_low,very_low,low,very_low,very_low,low,low,very_low,high,2010
Burkina Faso,very_low,very_low,low,very_low,medium,medium,low,low,high,2010
Burkina Faso,very_low,very_low,low,very_low,low,medium,medium,low,medium,2010
Burkina Faso,very_low,very_low,very_low,very_low,low,medium,low,very_low,very_high,2015
Burkina Faso,very_low,very_low,low,very_low,low,medium,low,low,very_high,2015
Burkina Faso,low,very_low,low,very_low,very_low,low,low,very_low,very_high,2015
Burkina Faso,low,very_low,very_low,very_low,low,medium,low,medium,very_high,2015
Burkina Faso,low,very_low,very_low,very_low,low,medium,low,medium,very_high,2015
Burundi,very_low,very_low,very_low,very_low,very_low,medium,high,very_low,medium,2005
Burundi,very_low,very_low,very_low,very_low,very_low,medium,low,low,very_low,2005
Burundi,very_low,very_low,very_low,very_low,very_low,low,low,medium,very_low,2010
Burundi,very_low,very_low,very_low,very_low,very_low,medium,medium,low,medium,2010
Burundi,very_low,very_low,very_low,very_low,low,medium,very_low,low,very_high,2015
Cambodia,very_low,very_low,low,very_low,,very_high,medium,medium,very_high,2005
Cambodia,very_low,very_low,very_low,very_low,high,high,high,,high,2005
Cambodia,low,very_low,very_low,low,very_high,high,high,medium,high,2005
Cambodia,very_low,very_low,medium,low,very_high,very_high,very_high,high,very_low,2005
Cambodia,very_low,very_low,very_low,low,very_high,very_high,very_high,high,very_high,2010
Cambodia,very_low,very_low,very_low,low,very_high,very_high,medium,high,high,2010
Cambodia,very_low,very_low,very_low,low,very_high,very_high,high,very_high,very_high,2010
Cambodia,very_low,very_low,very_low,low,very_high,very_high,medium,high,very_high,2010
Cambodia,very_low,very_low,very_low,low,very_high,very_high,high,high,very_high,2010
Cambodia,very_low,very_low,low,low,very_high,very_high,medium,high,very_high,2015
Cambodia,very_low,low,low,low,very_high,high,high,very_high,very_high,2015
Cambodia,low,low,low,low,very_high,high,medium,high,very_high,2015
Cambodia,medium,low,low,low,very_high,high,,very_high,very_high,2015
Cambodia,low,low,low,low,very_high,high,medium,very_high,very_high,2015
Cambodia,very_low,low,low,low,very_high,high,high,very_high,very_high,2020
Cameroon,very_low,very_low,very_low,very_low,low,medium,very_high,very_low,medium,2005
Cameroon,very_low,very_low,very_low,very_low,low,medium,very_high,low,medium,2005
Cameroon,very_low,very_low,very_low,very_low,very_low,low,very_high,very_low,high,2005
Cameroon,low,very_low,low,very_low,low,medium,very_high,very_low,medium,2005
Cameroon,low,very_low,low,very_low,medium,medium,high,very_low,medium,2010
Cameroon,very_low,very_low,low,very_low,high,medium,high,very_low,medium,2010
Cameroon,very_low,very_low,low,very_low,medium,medium,very_high,low,high,2010
Cameroon,very_low,very_low,low,very_low,medium,medium,high,low,medium,2010
Cameroon,very_low,very_low,low,very_low,medium,low,high,low,low,2010
Cameroon,low,very_low,very_low,very_low,medium,high,high,low,very_high,2015
Cameroon,low,very_low,very_low,very_low,low,medium,high,low,very_high,2015
Cameroon,low,very_low,very_low,very_low,medium,medium,high,low,very_high,2015
Cameroon,medium,very_low,very_low,very_low,high,high,high,low,very_high,2015
Cameroon,low,very_low,very_low,very_low,low,medium,medium,low,high,2015
Cameroon,medium,very_low,very_low,very_low,low,high,high,low,very_high,2020
Canada,very_high,very_high,very_high,very_high,very_high,very_high,very_low,very_high,low,2005
Canada,very_high,very_high,,very_high,very_high,very_high,very_low,very_high,medium,2005
Canada,very_high,very_high,very_high,very_high,very_high,very_high,very_low,very_high,low,2005
Canada,very_high,very_high,very_high,very_high,very_high,very_high,very_low,very_high,medium,2005
Canada,very_high,very_high,very_high,very_high,very_high,very_high,very_low,very_high,low,2010
Canada,very_high,very_high,very_high,very_high,very_high,very_high,very_low,very_high,medium,2010
Canada,very_high,very_high,very_high,very_high,very_high,very_high,very_low,very_high,low,2010
Canada,very_high,very_high,very_high,very_high,very_high,very_high,very_low,very_high,medium,2010
Canada,very_high,very_high,very_high,very_high,very_high,very_high,very_low,very_high,medium,2010
Canada,very_high,very_high,very_high,very_high,very_high,very_high,very_low,very_high,high,2015
Canada,very_high,very_high,very_high,very_high,very_high,very_high,very_low,very_high,low,2015
Canada,very_high,very_high,very_high,very_high,very_high,very_high,very_low,very_high,low,2015
Canada,very_high,very_high,very_high,very_high,very_high,high,very_low,very_high,medium,2015
Canada,very_high,very_high,very_high,very_high,very_high,high,very_low,very_high,high,2015
Canada,very_high,very_high,very_high,very_high,very_high,high,very_low,high,high,2020
Central African Republic,very_low,very_low,very_low,very_low,low,high,medium,very_low,high,2005
Central African Republic,very_low,very_low,very_low,very_low,low,medium,high,very_low,medium,2010
Central African Republic,very_low,very_low,very_low,very_low,medium,medium,high,very_low,medium,2010
Central African Republic,very_low,very_low,very_low,very_low,very_low,high,high,very_low,very_high,2015
Central African Republic,very_low,very_low,very_low,very_low,low,high,high,low,very_high,2015
Chad,very_low,very_low,low,very_low,very_low,high,very_high,very_low,medium,2005
Chad,very_low,very_low,very_low,very_low,very_low,medium,high,low,medium,2005
Chad,low,very_low,very_low,very_low,very_low,high,very_high,very_low,low,2005
Chad,very_low,very_low,very_low,very_low,very_low,high,very_high,very_low,low,2005
Chad,very_low,very_low,low,very_low,very_low,high,high,very_low,high,2010
Chad,very_low,very_low,medium,very_low,very_low,high,high,very_low,high,2010
Chad,very_low,very_low,very_low,very_low,very_low,medium,high,very_low,high,2010
Chad,very_low,very_low,very_low,very_low,very_low,medium,high,very_low,high,2010
Chad,very_low,very_low,low,very_low,very_low,low,high,very_low,high,2010
Chad,very_low,very_low,low,very_low,very_low,medium,high,low,very_high,2015
Chad,very_low,very_low,very_low,very_low,very_low,high,medium,very_low,very_high,2015
Chad,low,very_low,very_low,very_low,very_low,medium,medium,low,very_high,2015
Chad,low,very_low,very_low,very_low,low,high,low,very_low,very_high,2015
Chad,very_low,very_low,very_low,very_low,very_low,high,medium,very_low,very_high,2015
Chile,high,high,medium,high,medium,very_high,very_low,high,very_high,2005
Chile,medium,high,medium,high,low,very_high,low,high,very_high,2005
Chile,high,high,low,high,low,high,low,high,high,2005
Chile,high,high,medium,high,medium,very_high,low,high,high,2005
Chile,very_high,high,medium,high,medium,high,low,high,high,2010
Chile,very_high,high,medium,high,low,high,low,high,high,2010
Chile,very_high,high,medium,high,medium,very_high,medium,high,high,2010
Chile,very_high,high,medium,high,medium,high,low,very_high,high,2010
Chile,very_high,high,medium,high,medium,very_high,low,very_high,medium,2010
Chile,very_high,high,medium,high,medium,high,medium,high,high,2015
Chile,very_high,high,medium,high,low,high,high,very_high,high,2015
Chile,high,high,high,high,medium,medium,high,very_high,high,2015
Chile,high,high,high,high,medium,low,medium,very_high,medium,2015
Chile,high,high,high,high,low,low,high,high,very_high,2015
Chile,high,high,high,very_high,medium,high,medium,high,high,2020
China,low,low,low,high,,,,high,very_low,2005
China,low,low,medium,high,,very_low,,very_high,very_low,2005
China,low,low,low,high,high,low,,very_high,very_low,2005
China,very_low,low,low,high,medium,very_low,,high,very_low,2005
China,low,low,low,high,high,low,,high,very_low,2010
China,low,low,low,high,high,very_low,,very_high,very_low,2010
China,low,medium,low,high,high,very_low,,very_high,very_low,2010
China,medium,medium,low,high,high,very_low,,very_high,very_low,2010
China,medium,medium,medium,high,,very_low,,very_high,very_low,2010
China,medium,medium,low,high,,very_low,,high,very_low,2015
China,medium,medium,low,high,,very_low,,very_high,very_low,2015
China,medium,medium,low,high,high,very_low,,very_high,low,2015
China,medium,medium,low,high,very_high,very_low,,very_high,very_low,2015
China,medium,medium,medium,high,very_high,very_low,,very_high,very_low,2015
China,high,medium,low,high,very_high,low,,high,medium,2020
Colombia,high,medium,high,medium,high,medium,medium,high,high,2005
Colombia,high,medium,high,medium,medium,medium,high,high,high,2005
Colombia,high,medium,high,medium,medium,medium,low,high,high,2005
Colombia,high,medium,high,medium,medium,medium,high,very_high,medium,2005
Colombia,high,medium,high,medium,high,medium,medium,very_high,medium,2010
Colombia,high,medium,high,medium,high,low,high,very_high,high,2010
Colombia,high,medium,high,medium,high,medium,high,very_high,high,2010
Colombia,very_high,medium,high,medium,high,low,very_high,very_high,medium,2010
Colombia,high,medium,high,high,high,low,high,very_high,medium,2010
Colombia,high,medium,high,high,medium,low,high,very_high,high,2015
Colombia,high,medium,high,high,high,low,very_high,high,high,2015
Colombia,high,medium,high,high,high,very_low,high,very_high,high,2015
Colombia,high,medium,high,high,high,very_low,high,very_high,high,2015
Colombia,high,medium,high,high,high,very_low,high,very_high,high,2015
Colombia,medium,medium,low,high,high,low,medium,high,very_high,2020
Comoros,very_low,very_low,very_low,very_low,very_low,low,high,low,very_low,2005
Comoros,very_low,very_low,very_low,very_low,very_low,medium,low,medium,very_low,2010
Comoros,very_low,very_low,very_low,very_low,very_low,low,low,low,very_low,2010
Comoros,very_low,very_low,very_low,very_low,very_low,low,low,low,low,2010
Comoros,very_low,very_low,very_low,low,very_low,high,medium,medium,very_high,2015
Comoros,low,very_low,very_low,low,very_low,high,low,medium,high,2015
Congo (Brazzaville),very_low,very_low,very_low,very_low,very_low,low,,very_low,high,2005
Congo (Brazzaville),low,very_low,very_low,very_low,medium,low,medium,low,high,2010
Congo (Brazzaville),very_low,very_low,very_low,very_low,medium,low,medium,very_low,high,2010
Congo (Brazzaville),very_low,very_low,very_low,very_low,medium,low,low,low,high,2010
Congo (Brazzaville),very_low,low,very_low,very_low,low,low,medium,very_low,very_high,2010
Congo (Brazzaville),low,low,very_low,very_low,high,low,high,very_low,medium,2015
Congo (Brazzaville),very_low,very_low,very_low,low,medium,low,medium,low,high,2015
Congo (Brazzaville),low,very_low,very_low,low,medium,low,low,very_low,very_high,2015
